Date,Export ,DRAM ,Exchange Rate,CAPEX,Global Manufacturing PMI,OECD CLI,U.S. ISM Manufacturing New Orders Index
2010-01-01,33,532.34,1138.195,,,100.7563,62.9
2010-02-01,33,539.82,1155.655,,,100.8769,57.1
2010-03-01,40,542.49,1136.082,,,100.9252,61.4
2010-04-01,42,569.44,1115.459,,,100.9042,62.4
2010-05-01,44,584.81,1164.841,,,100.8329,63.1
2010-06-01,44,579.57,1214.111,,,100.7481,60
2010-07-01,46,556.73,1203.81,,,100.6912,57
2010-08-01,47,497.27,1179.516,,,100.6895,56.9
2010-09-01,48,483.24,1159.931,,,100.7448,53.5
2010-10-01,46,424.93,1121.94,,,100.8438,59.5
2010-11-01,41,332.72,1129.623,,,100.9662,57.9
2010-12-01,43,267.15,1145.483,,,101.0833,59.8
2011-01-01,41,226.62,1118.868,,,101.1708,62.1
2011-02-01,37,220.7,1117.437,,,101.2034,61.9
2011-03-01,45,223.53,1119.267,1999,,101.1696,61.7
2011-04-01,42,238.09,1083.176,2037,,101.0694,62.1
2011-05-01,42,251.3,1084.362,2075,,100.9103,53.9
2011-06-01,42,247.96,1080.452,2124,,100.7055,55.9
2011-07-01,40,217.41,1057.425,2010,,100.4768,54.4
2011-08-01,41,168.94,1073.887,1896,,100.2512,51.3
2011-09-01,46,138.96,1121.91,1782,,100.0646,51.3
2011-10-01,44,134.33,1150.685,1916,,99.93924,51.2
2011-11-01,41,130.48,1133.478,2050,,99.87638,54
2011-12-01,43,116.44,1148.126,2184,,99.86133,55.3
2012-01-01,38,114.52,1140.328,2191,,99.86938,55.2
2012-02-01,39,114.52,1122.69,2198,,99.86832,55.9
2012-03-01,43,117.22,1126.17,2195,,99.83969,55.9
2012-04-01,38,119.78,1135.024,2285,,99.78042,57.3
2012-05-01,42,122.69,1156.691,2375,,99.70392,58.9
2012-06-01,43,145.64,1163.389,2466,,99.62653,51.5
2012-07-01,39,144.07,1142.278,2431,,99.56828,49.2
2012-08-01,41,136.58,1131.746,2396,,99.54126,48.4
2012-09-01,45,124.26,1122.991,2362,,99.55283,53
2012-10-01,46,112.93,1105.382,2966,,99.60041,50.2
2012-11-01,46,110.04,1086.953,3570,,99.67872,49.5
2012-12-01,43,106.28,1075.223,4174,,99.78257,50.3
2013-01-01,40,115.01,1066.521,3478,,99.89832,51.6
2013-02-01,39,122.94,1087.308,2782,,100.0106,57
2013-03-01,46,151.27,1102.871,3130,,100.1011,52.7
2013-04-01,43,176.09,1120.898,3596,,100.1688,50.6
2013-05-01,50,184.96,1111.495,4063,,100.2213,51.1
2013-06-01,46,192.64,1135.009,4529,,100.2621,55.9
2013-07-01,48,194.61,1125.03,4633,,100.2949,58
2013-08-01,50,193.27,1115.942,4738,,100.3258,61.5
2013-09-01,54,196.77,1082.312,4843,,100.3517,60.7
2013-10-01,53,209.82,1065.857,5012,,100.3661,58.9
2013-11-01,50,212.53,1061.564,5181,,100.366,60.2
2013-12-01,52,214.02,1055.635,5349,,100.3475,64.9
2014-01-01,46,214.64,1067.127,5227,,100.3159,52.8
2014-02-01,45,213.37,1071.306,5104,,100.2882,56.1
2014-03-01,52,212.87,1070.491,4980,,100.2697,56.4
2014-04-01,48,209.03,1042.635,5232,,100.2509,56.2
2014-05-01,49,209.03,1024.787,5484,,100.2283,58.7
2014-06-01,52,210.66,1018.744,5735,,100.2037,59.1
2014-07-01,48,212.14,1021.034,5676,,100.1819,62
2014-08-01,52,216.38,1024.55,5618,,100.1665,63.9
2014-09-01,58,217.07,1035.891,5559,,100.1592,60
2014-10-01,59,216.18,1060.336,5940,,100.1572,65.8
2014-11-01,58,216.38,1097.873,6321,,100.1597,66
2014-12-01,58,214.02,1102.622,6703,,100.1666,57.3
2015-01-01,53,210.37,1088.13,6167,,100.1764,52.9
2015-02-01,48,206.33,1101.461,5629,,100.1859,52.5
2015-03-01,54,201.79,1112.901,5691,,100.1886,51.8
2015-04-01,52,196.43,1084.671,5813,,100.1729,53.5
2015-05-01,51,191.89,1092.637,5936,,100.1259,55.8
2015-06-01,53,185.58,1112.883,6058,,100.0423,56
2015-07-01,51,178.54,1146.547,5943,,99.93038,56.5
2015-08-01,55,167.46,1178.144,5829,,99.81159,51.7
2015-09-01,59,159.63,1184.33,5714,,99.70432,50.1
2015-10-01,55,153.57,1143.199,5851,,99.6165,52.9
2015-11-01,52,146.68,1153.472,5988,,99.53896,48.9
2015-12-01,48,146.34,1169.946,6125,,99.46655,49.2
2016-01-01,45,145.41,1203.318,6733,,99.40543,51.5
2016-02-01,42,140.42,1216.229,6889,,99.36361,51.5
2016-03-01,53,137.95,1181.573,7047,,99.35017,58.3
2016-04-01,46,127.46,1145.797,7193,,99.35909,55.8
2016-05-01,49,123.92,1173.791,7338,,99.38197,55.7
2016-06-01,53,122.21,1165.202,7484,,99.41802,57
2016-07-01,50,121.8,1140.865,7425,,99.47324,56.9
2016-08-01,56,124.46,1110.018,7365,,99.54795,49.1
2016-09-01,57,125.84,1108.364,7456,,99.6439,55.1
2016-10-01,56,137.81,1128.166,7746,,99.75262,52.1
2016-11-01,58,144.57,1162.708,8037,,99.86284,53
2016-12-01,59,145.35,1183.07,8327,,99.96836,60.2
2017-01-01,63,148.11,1179.107,7649,,100.0634,60.4
2017-02-01,64,169.78,1140.487,6971,,100.1481,65.1
2017-03-01,75,170.52,1133.862,7294,,100.225,64.5
2017-04-01,71,180.42,1134.176,7878,,100.2987,57.5
2017-05-01,75,180.56,1125.136,8462,,100.3729,59.5
2017-06-01,80,180.72,1130.846,9046,,100.4532,63.5
2017-07-01,79,185.69,1131.746,9377,,100.5384,60.4
2017-08-01,88,186.14,1130.27,9697,,100.6262,60.3
2017-09-01,97,186.23,1131.599,10058,,100.7067,64.6
2017-10-01,95,203.17,1130.884,10863,,100.7721,63.4
2017-11-01,96,205.74,1099.795,11568,,100.8162,64
2017-12-01,97,205.98,1082.902,12273,,100.8364,69.4
2018-01-01,97,218.91,1065.641,13329,,100.8356,65.4
2018-02-01,90,218.99,1078.475,14486,,100.8136,64.2
2018-03-01,108,219.06,1069.942,15742,,100.7638,61.9
2018-04-01,98,220.92,1068.045,15793,,100.6857,61.2
2018-05-01,108,221.02,1076.66,15845,,100.5825,63.7
2018-06-01,112,221.02,1094.355,15896,,100.4559,63.5
2018-07-01,104,221.65,1122.203,15581,,100.3103,60.2
2018-08-01,115,221.65,1120.427,15167,,100.1521,65.1
2018-09-01,124,220.83,1119.82,14753,,99.98855,61.8
2018-10-01,116,208.46,1131.615,15905,,99.8278,57.4
2018-11-01,107,204.78,1125.345,17057,,99.68257,62.1
2018-12-01,89,203.92,1122.424,18209,,99.55993,51.1
2019-01-01,74,173.75,1120.33,16760,,99.46989,58.2
2019-02-01,68,161.72,1121.833,15311,,99.41393,55.5
2019-03-01,90,152.29,1131.601,13761,,99.38015,57.4
2019-04-01,84,136.04,1142.165,14658,,99.35171,51.7
2019-05-01,75,130.56,1182.953,15555,,99.31915,52.7
2019-06-01,83,124.46,1173.785,16453,,99.28679,50
2019-07-01,75,107.12,1177.235,17991,,99.25932,50.8
2019-08-01,80,106.73,1210.378,19529,,99.24273,47.2
2019-09-01,85,106.73,1194.115,21066,,99.2457,47.3
2019-10-01,79,100.17,1183.447,25755,,99.26846,49.1
2019-11-01,74,99.92,1167.299,30444,,99.30578,47.2
2019-12-01,73,99.74,1174.705,35133,,99.3428,46.8
2020-01-01,72,98.19,1167.462,30883,,98.78015,52
2020-02-01,74,98.42,1195.336,27321,,96.46351,49.8
2020-03-01,88,99.28,1218.195,18758,,93.30589,42.2
2020-04-01,72,106.21,1223.131,19240,,89.12939,27.1
2020-05-01,81,106.34,1228.134,19622,,93.4154,31.8
2020-06-01,83,106.34,1206.946,20004,,96.71854,56.4
2020-07-01,79,100.42,1198.619,21273,,98.17705,61.5
2020-08-01,82,100.42,1186.856,22542,,98.96931,67.6
2020-09-01,95,100.42,1176.862,23810,,99.68683,60.2
2020-10-01,87,94.65,1143.768,25027,,100.0807,67.9
2020-11-01,86,94.65,1116.098,26243,,100.3805,65.1
2020-12-01,95,94.65,1093.788,27460,,100.6939,67.9
2021-01-01,87,97.8,1098.237,26171,,100.8933,61.1
2021-02-01,84,97.94,1111.814,24899,,101.082,64.8
2021-03-01,95,97.94,1130.254,26027,,101.2913,68
2021-04-01,93,115.45,1117.856,27200,,101.4418,64.3
2021-05-01,100,115.45,1123.657,28374,,101.5005,67
2021-06-01,112,115.45,1122.607,29548,,101.5119,66
2021-07-01,110,123,1146.395,30297,,101.3794,64.9
2021-08-01,117,123,1160.995,30996,,101.2629,66.7
2021-09-01,122,123,1172.819,31694,,101.1815,66.7
2021-10-01,112,116.01,1181.89,32458,,101.0967,59.8
2021-11-01,120,116.01,1184.06,33223,,100.9655,61.5
2021-12-01,128,116.01,1183.887,34087,,100.8146,60.4
2022-01-01,108,103.39,1196.035,34052,,100.6275,57.9
2022-02-01,104,103.39,1199.123,34017,,100.4003,61.7
2022-03-01,131,103.39,1220.841,34183,,100.1437,53.8
2022-04-01,108,102.71,1235.153,34530,,99.88104,53.5
2022-05-01,115,102.14,1268.808,34928,54.3,99.62035,55.1
2022-06-01,123,101.67,1277.406,35325,52.7,99.37936,49.2
2022-07-01,112,90.59,1308.03,36202,51.7,99.17947,48
2022-08-01,108,90.31,1319.412,37079,49.3,99.03656,51.3
2022-09-01,115,87.77,1396.373,37955,49.7,98.94985,47.1
2022-10-01,92,71.77,1426.065,38069,49,98.9233,49.2
2022-11-01,84,71.77,1361.79,38183,48,98.95537,47.2
2022-12-01,91,70.92,1293.563,38297,48.2,99.04976,45.2
2023-01-01,60,61.81,1243.071,34758,49.7,99.17219,42.5
2023-02-01,60,60.59,1275.421,33363,52.1,99.31221,47
2023-03-01,86,60.18,1306.016,32789,53.4,99.45306,44.3
2023-04-01,64,50.94,1322.057,32918,54.2,99.58429,45.7
2023-05-01,74,50.86,1327.48,33148,54.4,99.71142,42.6
2023-06-01,89,50.06,1297.251,32377,52.7,99.81824,45.6
2023-07-01,74,49.53,1282.284,33579,51.7,99.90848,47.3
2023-08-01,86,49.51,1321.756,34773,50.6,99.96799,46.8
2023-09-01,99,49.51,1334.237,35766,50.5,99.99264,49.2
2023-10-01,89,53.57,1351.507,37710,50,99.99456,45.5
2023-11-01,95,54.25,1308.154,39705,50.4,99.98859,48.3
2023-12-01,110,55.27,1304.395,41699,51,99.98123,47.1
2024-01-01,94,63.36,1325.912,42866,51.8,99.96938,52.5
2024-02-01,99,64.22,1331.335,43083,52.1,99.95071,49.2
2024-03-01,117,64.83,1331.675,43299,52.3,99.92176,51.4
2024-04-01,100,73.25,1367.856,46074,52.4,99.88278,49.1
2024-05-01,114,73.32,1364.724,48849,53.7,99.84261,45.4
2024-06-01,134,73.61,1379.053,51625,52.9,99.81194,49.3
2024-07-01,112,77.96,1382.047,53690,52.5,99.80627,47.4
2024-08-01,119,77.86,1351.444,55605,52.5,99.83254,44.6
2024-09-01,136,76.63,1330.699,57520,52.8,99.89188,46.1
2024-10-01,125,75.26,1362.369,61832,52.3,99.97244,47.1
2024-11-01,125,74.03,1395.02,66194,52.4,100.0548,50.4
2024-12-01,145,73.99,1439.997,70557,52.6,100.1197,52.5
2025-01-01,101,72.77,"1,454.52",71084,51.8,100.1539,55.1
2025-02-01,96,70.7,"1,445.51",71111,51.5,100.1574,48.6
2025-03-01,131,71.44,"1,457.65",71138,52.1,100.1364,45.2
2025-04-01,117,72.36,"1,439.95",76569,50.8,100.1148,47.2
2025-05-01,138,74.63,"1,391.94",82000,51.2,100.1187,47.6
2025-06-01,150,74.72,"1,366.41",87431,51.7,100.1518,46.4
2025-07-01,147,80.81,"1,377.35",90422,52.4,100.206,47.1
2025-08-01,151,80.98,"1,388.90",93163,52.9,100.274,51.4
2025-09-01,166,83.16,"1,393.41",96404,52.4,100.35,48.9